sequence,system_time,ros_time,message_stamp,source_frame,world_frame,odom_valid,graph_initialized,start_x,start_y,start_z,source_goal_x,source_goal_y,source_goal_z,goal_x,goal_y,goal_z,session_id,selection_in_session,odom_stamp,semantic_map_stamp,odom_age_wall_s,semantic_map_age_wall_s,start_heading_x,start_heading_y,start_heading_z,nav_graph_nodes,static_global_nodes,static_candidate_nodes,dynamic_local_nodes,current_static_points,current_dynamic_points,semantic_graph_dirty,planner_running,previous_waypoint_valid,previous_waypoint_x,previous_waypoint_y,previous_waypoint_z
19,2026-08-11T20:29:51.089,19.203000000,19.166000000,world,world,1,1,3.9767,18.0000,0.2906,19.8124,-31.2863,0.0000,19.8124,-31.2863,0.0000,2026-08-11T20:29:28.798,1,19.194000000,19.100000000,0.001007139,0.000243553,1.0000,-0.0001,0.0000,10,4,0,5,152,50,1,0,0,0.0000,0.0000,0.0000
20,2026-08-11T20:30:39.775,59.604000000,59.587000000,world,world,1,1,9.6377,8.1815,0.2670,14.2232,4.5844,0.0000,14.2232,4.5844,0.0000,2026-08-11T20:29:28.798,2,59.603000000,59.500000000,0.000002882,0.000348310,-0.2528,-0.9675,0.0000,42,32,0,8,619,79,1,1,1,11.8257,7.0607,0.4050
21,2026-08-11T20:30:46.595,65.203000000,65.102000000,world,world,1,1,9.6372,8.1823,0.2670,9.7280,6.7424,0.0000,9.7280,6.7424,0.0000,2026-08-11T20:29:28.798,3,65.196000000,65.100000000,0.002457545,0.000177318,-0.2500,-0.9683,0.0000,42,32,0,8,617,79,1,1,1,14.2232,4.5844,0.0000
22,2026-08-11T20:30:50.586,68.402000000,68.093000000,world,world,1,1,9.3842,7.0189,0.2887,25.0812,-30.8732,0.0000,25.0812,-30.8732,0.0000,2026-08-11T20:29:28.798,4,68.396000000,68.300000000,0.003832218,0.000306532,0.0228,-0.9997,0.0000,42,32,0,8,638,80,1,1,1,9.7280,6.7424,0.7000
23,2026-08-11T20:30:58.431,74.803000000,74.597000000,world,world,1,1,9.4601,6.4600,0.2665,30.6699,-26.0519,0.0000,30.6699,-26.0519,0.0000,2026-08-11T20:29:28.798,5,74.797000000,74.700000000,0.002509650,0.000224278,0.6565,-0.7543,0.0000,42,32,0,8,710,80,1,1,1,12.2499,7.4849,0.4050
24,2026-08-11T20:31:02.831,78.409000000,78.046000000,world,world,1,1,9.4605,6.4610,0.2665,15.0773,2.6107,0.0000,15.0773,2.6107,0.0000,2026-08-11T20:29:28.798,6,78.385000000,77.900000000,0.000002664,0.478902351,0.6660,-0.7460,0.0000,42,32,0,8,710,80,0,1,1,12.2499,7.4849,0.4050
25,2026-08-11T20:31:06.202,81.200000000,81.137000000,world,world,1,1,9.4606,6.4612,0.2665,14.5169,5.3334,0.0000,14.5169,5.3334,0.0000,2026-08-11T20:29:28.798,7,81.189000000,81.100000000,0.003266240,0.000326986,0.6676,-0.7445,0.0000,42,32,0,8,710,80,1,1,1,12.2499,7.4849,0.4050
26,2026-08-11T20:31:12.292,86.401000000,86.058000000,world,world,1,1,9.4606,6.4612,0.2665,11.5941,6.2057,0.0000,11.5941,6.2057,0.0000,2026-08-11T20:29:28.798,8,86.393000000,85.900000000,0.000002891,0.467677202,0.6683,-0.7439,0.0000,42,32,0,8,710,80,0,1,1,14.5169,5.3334,0.7000
27,2026-08-11T20:31:17.007,90.403000000,90.087000000,world,world,1,1,9.4607,6.4612,0.2665,10.7338,6.8698,0.0000,10.7338,6.8698,0.0000,2026-08-11T20:29:28.798,9,90.388000000,90.300000000,0.003339334,0.000379064,0.6684,-0.7438,0.0000,42,32,0,8,710,80,1,1,1,11.5941,6.2057,0.7000
28,2026-08-11T20:32:30.065,25.263000000,24.916000000,world,world,1,1,3.9759,18.0001,0.2912,28.4725,-41.7550,0.0000,28.4725,-41.7550,0.0000,2026-08-11T20:32:01.169,1,25.259000000,25.100000000,0.000932377,0.000197422,1.0000,-0.0001,0.0000,13,4,0,8,152,22,1,0,0,0.0000,0.0000,0.0000
29,2026-08-11T20:37:46.260,282.481000000,282.314000000,world,world,1,1,27.9196,-42.3658,0.2719,42.4490,37.9346,0.0000,42.4490,37.9346,0.0000,2026-08-11T20:32:01.169,2,282.458000000,282.300000000,0.024599915,0.000796830,-0.6728,0.7398,0.0000,91,95,1,0,1793,0,1,1,1,28.4725,-41.7550,0.7000
30,2026-08-11T20:39:32.395,367.694000000,367.397000000,world,world,1,1,43.3110,29.6076,0.2196,30.1194,49.7324,0.0000,30.1194,49.7324,0.0000,2026-08-11T20:32:01.169,3,367.656000000,367.500000000,0.043129958,0.001231311,-0.0237,0.9997,0.0000,113,119,1,0,1120,0,1,1,1,42.4490,37.9346,0.0000
